Language,English,German,Spanish,Russian
STR_SYS_181,New side order:,Neue Nebenmission:,Nueva misión secundaria:,Новое побочное задание:
STR_SYS_182,The enemy troops will be at place in less than %1 minutes,Die feindlichen Truppen werden am Ort in weniger als %1 Minuten,Las tropas enemigas estarán en el lugar del accidente en menos de %1 minutos[s],Вражеские войска будут на месте крушения менее чем через %1 минут[ы]

STR_SYS_199,Secondary target not available...,Sekundäre Aufgabe nicht zur Verfügung...,La tarea secundaria no está disponible...,Второстепенная задача не доступна...

STR_SEC_1,Find in %1 and eliminate the local Governor.,Finden in %1 und beheben des örtlichen Gouverneurs.,Buscar en %1 y eliminar el gobernador local.,Найти в %1 и устранить местного губернатора.
STR_SEC_2,Find the communication tower at %1 and destroy it.,Finden Sie den Turm der Kommunikation in %1 und es zu zerstören.,Encontrar la torre de comunicaciones en %1 y destruirla.,Найти вышку связи в %1 и уничтожить её.
STR_SEC_3,Search and destroy ammo-truck in %1.,Suchen und zerstören in %1 Lastwagen mit Munition.,Encuentra y destruye en %1 camión con munición.,Найти и уничтожить в %1 грузовик с боезапасом.
STR_SEC_4,Find in %1 armored mobile headquarters (camouflaged as medical one) and destroy it.,Finden in %1 штабную Panzerwagen (maskierte unter-und Sanitär) und Sie zu zerstören.,Encuentra en %1 un vehículo blindado de personal (disfrazado de sanitario) y destruirlo.,Найти в %1 штабную бронемашину (замаскированную под санитарную) и уничтожить её.
STR_SEC_5,Find in %1 armored mobile headquarters and destroy it.,Finden in %1 gepanzerten mobile Hauptquartier und es zu zerstören.,Encuentra y destruye en %1 el vehículo blindado de personal del enemigo.,Найти и уничтожить в %1 штабную бронемашину противника.
STR_SEC_6,Search and destroy in %1 some heroin laboratory.,Suchen und Zerstören von %1 im Labor für die Herstellung von Heroin.,Encuentra y destruye un laboratorio de heroína en %1.,Найти и уничтожить в %1 лабораторию по производству героина.
STR_SEC_7,Search and destroy in %1 big heroin factory.,Suchen und zerstören in %1 Fabrik für die Herstellung von Heroin.,Encuentra y destruye en %1 la planta de producción de heroína.,Найти и уничтожить в %1 завод по производству героина.
STR_SEC_8,Find and destroy a sabotage stash in %1.,Finde und zerstöre ein Sabotageversteck in %1.,Encuentra y destruye un alijo de sabotaje en %1.,Найти и уничтожить тайник для диверсантов в %1.
STR_SEC_8_0,Probably a stash in one of the construction (not only house).,Wahrscheinlich ein Versteck in einem der Bauwerke (nicht nur Haus).,Probablemente un alijo en una de las construcciones (no sólo casa).,"Возможно, тайник в одной из построек (не только здания)."
STR_SEC_8_1,Probably a stash somewhere outside the construction (not only house).,Wahrscheinlich ein Versteck irgendwo außerhalb des Baus (nicht nur Haus).,Probablemente un alijo en algún lugar fuera de la construcción (no sólo de la casa).,"Вероятно, тайник где-то вне зданий и строений."

STR_SEC_8_10,"As a ranking private, you're sure you don't understand anything.","Als ranghoher Gefreiter verstehen Sie sicher nichts.","Como soldado raso, seguro que no entiendes nada","Как рядовой, вы уверены, что ничего не понимаете."
STR_SEC_8_11,"As %1, you are almost certain that stash at a distance of no more than %2 m. (you don't know more accurately).","Als %1 sind Sie fast sicher, dass das Versteck nicht weiter als %2m entfernt ist. (genaueres ist nicht bekannt)","Como %1, estás casi seguro de que el alijo no está a más de %2m. (no se sabe con más exactitud)","Как %1, вы почти уверены, что тайник на дистанции не более %2 м. (точнее не известно)"
STR_SEC_8_12,"As %1, you intuitively feel that the hiding place is no further than %2 m. (but how much less?).","Als %1 spüren Sie intuitiv, dass das Versteck nicht weiter als %2m ist. (aber wie viel weniger?)","Como %1, intuyes que el escondite no está más allá de %2m. (¿pero cuánto menos?)","Как %1, вы интуитивно чувствуете, что тайник не далее чем %2 м. (но насколько менее?)"
STR_SEC_8_13,"You feel that inside %1 your intuition isn't working for some reason.","Sie spüren, dass in %1 Ihre Intuition aus irgendeinem Grund nicht funktioniert","Sientes que dentro de %1 tu intuición no está funcionando por alguna razón","Вы чувствуете, что внутри %1 ваша интуиция почему-то не работает"
STR_SEC_8_14,Where is the damn stash?,Wo ist das verdammte Versteck?,¿Dónde está el maldito escondite?,Где же этот тайник?

STR_SYS_208,No target,Ohne Auftrag,sin objetivo,Нет цели
STR_SYS_209,No secondary main target mission available...,Keine zweite Hauptziel der mission zur Verfügung...,Falta tarea secundaria en la ciudad,Вторичная задача в городе отсутствует
STR_SYS_210,Secondary target:,Die sekundäre Aufgabe:,Tarea secundaria:,Второстепенное задание:
STR_SYS_211,Close %1 is located enemy post. Your task: destroy the radio tower on it.,In der Nähe von %1 befindet sich das feindliche posten. Ihre Aufgabe: die Zerstörung der Radio-Turm.,Cerca de %1 se encuentra un puesto enemigo. Su tarea: destruir la torre de Radio en él.,Недалеко от %1 расположен вражеский пост. Ваша задача: уничтожение радиобашни на нём.
STR_SYS_212,"Very good job, boys! Radio tower destroyed.",Auftrag ausgeführt! Radio Turm zerstört.,¡Misión cumplida! Torre de Radio destruida.,Задание выполнено! Радио башня уничтожена.
STR_SYS_213,"You need %2 scores to rebuild a factory, your current scores are: %1!","Sie müssen %2 Punkte, um den Wiederaufbau einer Fabrik, Ihre aktuelle Punktzahl beträgt: %1!","Para reparar el edificio necesita puntos: %2, usted tiene: %1!","Для ремонта здания необходимо очков: %2, вы имеете: %1!"
STR_SYS_214,Restore support building. This will take some time and scores (-%1)...,Wiederherstellen Unterstützung bauen. Dies wird einige Zeit dauern und Partitur (-%1)...,Se realiza la reparación del Servicio. Esto llevará tiempo y reducirá la factura (-%1)...,Производится ремонт сервиса. Это потребует времени и убавит счёт (-%1)...
STR_SYS_214_1,The service is being repaired at the expense of the engineering Fund...,Der Service wird auf Kosten des engineering Fund repariert...,Se realiza la reparación del Servicio a los medios del fondo de ingeniería...,Производится ремонт сервиса на средства инженерного фонда...
STR_SYS_214_2,Restore support building. This will take some time and add scores (+%1)...,Restore Unterstützung bauen. Dies wird einige Zeit dauern und fügen Sie mehr Punkte (+%1)...,Se realiza la reparación del Servicio. Esto lleva tiempo y sumará puntos (+%1)...,Производится ремонт сервиса. Это требует времени и прибавит очки (+%1)...
STR_SYS_215,Airbase etc,Airbase etc,Base aérea etc,Авиабаза и т.д.
STR_SYS_216,occupied city,besetzte Stadt,ocupo,оккупированный

STR_SYS_220,for aircrafts maintenance,für die Wartung der Flugzeuge,mantenimiento de aeronaves,по обслуживанию самолетов
STR_SYS_221,for helicopters maintenance,für die Wartung der Hubschrauber,mantenimiento de helicópteros,по обслуживанию вертолётов
STR_SYS_222,for vehicles recovery,für Fahrzeuge recovery,por la restauración de la técnica,по восстановлению техники

STR_SYS_223,Was destroyed service %1. Ask the engineers to repair it ...,Zerstört wurde Dienst %1. Fragen Ingenieure zu reparieren ...,Se ha destruido el Servicio %1. Pida a los ingenieros que lo reparen ...,Был уничтожен сервис %1. Просите инженеров отремонтировать его ...
STR_SYS_224,Service %1 available,Service %1 verfügbar,El Servicio %1 está disponible,Сервис %1 доступен
STR_SYS_225,Restore the tech. service,Erstellen Sie den Dienst,Reparar el edificio de servicios técnicos,Починить здание техсервиса
STR_SYS_227,Repair/refill vehicle,Reparatur/Tanken des Fahrzeug,Reparar / repostar electrodomésticos,Починить/заправить технику
STR_SYS_227_1,Repair vehicle only,Reparatur Fahrzeug nur,Sólo reparar el equipo,Только починить технику
STR_SYS_228,Unflip Vehicle,Unflip Fahrzeug,Poner técnica,Поставить технику
STR_SYS_229,Engineer repair/refuel capability restored...,Ingenieur Reparatur/tanken Funktion wiederhergestellt...,"La capacidad de reparar, repostar equipos restaurados...","Способность ремонтировать, заправлять технику восстановлена..."

STR_SYS_230,"Non-marked zones has %1 and %2. Areas marked as sandstorm has degraded visibility.\nWind %3 deg, %4 m/s","Non-marked Zonen hat %1 und %2. Markierte Bereiche, die als Sandsturm hat abgebaut Sichtbarkeit.\nWind %3 deg, %4 m/s","Tiempo fuera de las zonas móviles marcadas: %1 y %2. En zonas de tormentas de arena, la visibilidad se reduce drásticamente \ n Viento %3 gr. %4 m / c",Погода вне маркированых движущихся зон: %1 и %2. В зонах песчанных бурь видимость резко снижена\nВетер %3 гр. %4 м/c
STR_SYS_231,"Non-marked zones has %1 and %2. Areas marked with cloudy has %3, while fog marked areas has %4.\nWind %5 deg, %6 m/s","Non-marked Zonen hat %1 und %2. Markierte Bereiche, die mit bewölktem hat %3, während der Nebel markierten Bereiche hat %4.\nWind %5 deg, %6 m/s","Tiempo fuera de las zonas marcadas: %1, %2.\ nen la zona marcada con nubosidad: %3. En la zona con niebla: %4.\ N viento por ejemplo. %5 gr., SC. %6 m / c","Погода вне маркерных зон: %1, %2.\nВ маркерной зоне с облачностью: %3. В зоне с туманом: %4.\nВетер  напр. %5 гр., ск. %6 м/c"
STR_SYS_232,"Domination dynamic weather system not used, but still mission starts randomly on the nice side. Current cloud level is %1 %3. Current fog level is %2 %3.\nWind dir. %4 deg, spd. %5 m/s","Herrschaft dynamische Wettersystem nicht benutzt, aber immer noch mission beginnt zufällig auf der netten Seite. Aktuelle cloud-Ebene ist %1 %3. Aktuelle Nebel Ebene ist %2 %3.\nWind dir %4 deg, spd. %5 m/s","No se utiliza el sistema dinámico de fenómenos meteorológicos, los valores actuales de los factores meteorológicos son: nubosidad %1%3, probabilidad de niebla: %2%3.\ n Viento %4 gr. %5 m / c","Динамическая система погодных явлений не используется, текущие  значения погодных факторов: облачность %1 %3, вероятность тумана: %2 %3.\nВетер %4 гр. %5 м/c"

STR_WET_1,clear skies,das klare Wetter,claro,ясно
STR_WET_2,few 1/8 cloudcover,"klar, kein Regen","claro, sin lluvia","ясно, без осадков"
STR_WET_3,few 2/8 cloudcover,leicht bewölkt,poco nuboso,малооблачно
STR_WET_4,scattered 3/8 cloudcover,bewölkt mit Aufhellungen,nubosidad variable con claros,переменная облачность с прояснениями
STR_WET_5,scattered 4/8 cloudcover,bewölkt,nubosidad variable,переменная облачность
STR_WET_6,broken 5/8 cloudcover,bewölkt,nublado,облачно
STR_WET_7,broken 6/8 cloudcover,bedeckt,nubosidad continua,сплошная облачность
STR_WET_8,overcast 7/8 cloudcover,"bedeckt, mit kleinen Lichtungen","nublado, con pocas aclaraciones","пасмурно, с небольшими прояснениями"
STR_WET_9,overcast 8/8 cloudcover,bewölkt,"nublado, sin aclaración","пасмурно, без прояснений"
STR_WET_10,overcast 8/8 cloudcover and chance of light rain,bewölkt und die Wahrscheinlichkeit einer kleinen Regen,nublado y probabilidad de lluvia ligera,пасмурно и вероятность небольшого дождя
STR_WET_11,overcast 8/8 cloudcover and heavy rain,bewölkt und die Wahrscheinlichkeit des starken Regens,nublado y probabilidad de lluvia intensa,пасмурно и вероятность сильного дождя
STR_WET_12,"overcast 8/8 cloudcover, heavy rain and chance of thunderstorms","bewölkt, die Wahrscheinlichkeit starker Regen mit gewitter","nublado, probabilidad de lluvia intensa con tormenta eléctrica","пасмурно, вероятность сильного дождя с грозой"

STR_WET_13,unlimited visibility,unbegrenzte Sicht,la visibilidad no está limitada,видимость не ограничена
STR_WET_14,visibility 10km,Sichtbarkeit 10km,visibilidad 10 km,видимость 10км
STR_WET_15,visibility 5km,Sichtbarkeit 5km,visibilidad 5 km,видимость 5км
STR_WET_16,visibility 2km,Sichtbarkeit 2km,visibilidad 2 km,видимость 2км
STR_WET_17,visibility 1km,Sichtbarkeit 1km,visibilidad 1 km,видимость 1км
STR_WET_18,visibility 500m,Sichtbarkeit 500m,visibilidad 500 m,видимость 500м
STR_WET_19,visibility 350m,Sichtbarkeit 350m,visibilidad 350 m,видимость 350м
STR_WET_20,visibility 200m or less,Sichtbarkeit 200m oder weniger,visibilidad 200 m y menos,видимость 200м и менее

STR_WET_21,Cloudy,Bewölkt,Nubes,Облака
STR_WET_22,Fog,Nebel,Niebla,Туман
STR_WET_23,Sandstorm,Sandsturm,Tormenta de arena,Песчаная буря

STR_SYS_240,Your team has eliminated the Governor...,Ihr Team eliminiert Gouverneur...,Su unidad eliminó al gobernador...,Ваш отряд ликвидировал губернатора...
STR_SYS_241,The Governor infamously fled the city...,Der Gouverneur es ist schändlich floh aus der Stadt...,El gobernador escapó infamemente de la ciudad...,Губернатор позорно сбежал из города...
STR_SYS_242,Your team has destroyed the communications tower of the enemy...,Ihr Team zerstört den Turm aufgrund der Feind...,Su unidad destruyó la torre de comunicaciones enemigas...,Ваш отряд уничтожил вышку связи противника...
STR_SYS_243,"Your team has destroyed an ammotruck, full of enemy best ammunition...",Ihr Team zerstört Lastwagen mit Munition...,Su escuadrón destruyó un camión con municiones de guerra...,Ваш отряд уничтожил грузовик с боезапасом...
STR_SYS_244,Your team has destroyed the enemy MHQ...,Ihr Team zerstört MHQ des Feindes...,Tu escuadrón destruyó el KSHM del enemigo...,Ваш отряд уничтожил КШМ противника...
STR_SYS_245,Your team has destroyed the command post of the enemy...,Ihr Team zerstört Kommandozentrum der Feind...,Tu escuadrón destruyó el puesto de mando del enemigo...,Ваш отряд уничтожил командный пункт противника...
STR_SYS_246,Your team has destroyed a heroin factory...,Ihr Team zerstörte Fabrik für die Herstellung von Heroin...,Su escuadrón destruyó la fábrica de heroína...,Ваш отряд уничтожил завод по производству героина...
STR_SYS_247,Your team has destroyed a large plant for the production of heroin...,Ihr team zerstört hat eine große Anlage für die Herstellung von heroin...,Su escuadrón destruyó una gran planta de heroína...,Ваш отряд уничтожил большой завод по производству героина...
STR_SYS_247_1,Your team has destroyed a sabotage stash...,Dein Team hat ein Sabotageversteck zerstört...,Su equipo ha destruido un alijo de sabotaje...,Ваш отряд уничтожил тайник для диверсантов...
STR_SYS_248,Secondary objective achieved...,Das sekundäre Ziel erreicht...,La misión secundaria ha terminado...,Второстепенное задание завершено...

STR_SYS_248_NUM,3,3,3,3
STR_SYS_248_0,"perhaps, by guerrillas...","vielleicht, von Guerillas...",posiblemente guerrilleros...,"возможно, партизанами..."
STR_SYS_248_1,by force of circumstances...,durch die Kraft der Umstände...,fuerza mayor...,силой обстоятельств...
STR_SYS_248_2,by infuriated enemies?,von wütenden Feinden?,¿enemigos furiosos?,взбесившимися врагами?

STR_SYS_249,Wreck Repair Point,Wrack-Reparatur-Punkt,Servicio de recuperación,Сервис восстановления

STR_SYS_250,Your rank: %1 does not allow to use this helicopter (Wreck-repair). Required rank: %2.,Ihr Rang: %1 ist nicht erlaubt die Verwendung dieser Hubschrauber (Wrack). Erforderlich Rang: %2.,"Su rango, %1, no permite el uso de este helicóptero (recuperación-Wreck). Rango requerido: %2.","Ваше звание, %1, не позволяет использовать этот вертолёт (восстановление-Wreck). Требуемое звание: %2."
STR_SYS_251,No permission to fly!,Keine Erlaubnis zum Fliegen!,¡No hay permiso para volar!,Отсутствует допуск к полётам!
STR_SYS_252,Your rank: %1. You are not allowed to use %3.\n\nRank required is: %2.,"Ihr Rang: %1. Sie nicht verwenden dürfen, %3.\n\nErforderliche dienstgrad: %2.","Su rango, %1, no permite el uso de %3.\ n \ rango requerido: %2.","Ваше звание, %1, не позволяет использовать %3.\n\nТребуемое звание: %2."
STR_SYS_252_BULKY,When you try to enter into the doorway you're stuck (%1)! %2,"Wenn Sie versuchen, geben Sie in die Tür, Sie stecken (%1)! %2","Al intentar entrar en una abertura, estás atascado (%1)! %2",При попытке проникнуть в проём вы застряли (%1)! %2

STR_SYS_252_NUM,5,5,5,5
STR_SYS_252_0,You need to get rid of this equipment!,Wir müssen diese Bewaffnung loswerden!,¡Tenemos que deshacernos de este equipo!,Надо избавиться от этого снаряжения!
STR_SYS_252_1,Or is it stomach prevent me ?,Oder ist es der Magen verhindern mich ?,¿O es que el estómago molesta?,Или это живот мешает?
STR_SYS_252_2,I'm tired of all these problems...,Ich bin müde von all diesen Problemen...,Algo que ya estoy cansado de todos estos problemas...,Что-то я уже устал от всех этих проблем...
STR_SYS_252_3,Have to get something smaller...,Haben die etwas kleineren...,Tenemos que conseguir algo más pequeño...,Надо взять что-то поменьше размером...
STR_SYS_252_4,Maybe I should undress?,Vielleicht sollte ich ausziehen?,¿Por qué no te desvestes?,"Может, вообще раздеться?"

STR_SYS_253,The effect of wind on the helicopter:,Der Einfluss des Windes auf die Hubschrauber:,Impacto del viento en helicópteros:,Влияние ветра на вертолёты:
STR_SYS_254,Your side: %1. Enemy: %2. Island: %3\n,Ihrer Seite: %1. Feind: %2. Insel: %3\n,Su lado: %1. Enemigos: %2. Isla: %3\n,Ваша сторона: %1. Враги: %2. Остров: %3\n
STR_SYS_255,Servicing: %1... Please wait...,Service: %1... Bitte warten...,Servicio: %1... Esperadlo...,Обслуживание: %1... Ожидайте...
STR_SYS_256,Rearming: %1,Wiederbewaffnung: %1,Recarga: %1,Перезарядка: %1

STR_SYS_256_A_NUM,4,4,4,4
STR_SYS_256_A_0,You understand that lost your magical ability to load double ammunition!,"Sie mit schaudern verloren Ihre magischen Fähigkeiten, um neu zu laden Doppel-Munition!",¡Te das cuenta de que has perdido tu habilidad mágica para cargar municiones dobles!,"Вы с содроганием осознаёте, что потеряли свою магическую способность загружать двойной боекомплект!"
STR_SYS_256_A_1,You realize that  lost your magical ability to load double ammunition!,"Sie erkennen, dass verloren Ihre Magische Fähigkeit, reload Doppel-Munition!",¡Te das cuenta con amargura de que el helicóptero no está disponible en la isla!,"Вы с горечью понимаете, что вертолётная халява на острове уже отсутствует!"
STR_SYS_256_A_2,You sad to think that fun here will not work!,"Sie traurig zu denken, dass der Spaß hier nicht arbeiten!",¡Piensa con tristeza que no puedes divertirte aquí hoy!,"Вы с грустью думате, что повеселиться тут нынче не получится!"
STR_SYS_256_A_3,"You regret, but accept the fact that you have to fight for real now!","Sie bedauern, aber akzeptieren Sie die Tatsache, dass Sie haben zu kämpfen für real!",¡Estás de acuerdo con el hecho de que tendrás que luchar de verdad!,"Вы с сожалением соглашаетесь с тем, что воевать придётся по настоящему!"

STR_SYS_256_HM_NUM,4,4,4,4
STR_SYS_256_HM_0,"Trying to postpone your next visit as long as possible, staff supplied your chopper with double ammo!","Versucht zu verschieben, Ihren nächsten Besuch so lange wie möglich Personal versorgt Ihre chopper mit double-Munition!","¡Para verte en el Servicio con la menor frecuencia posible, ¡los técnicos cargarán otro BQ!","Чтобы видеть вас на сервисе как можно реже, техники загрузят еще один БК!"
STR_SYS_256_HM_1,"A six-pack, being fetched to maintenance man, magically turns into double set of ammo!","Kiste mit Fleischkonserven, verlief ruhig ist magisch verwandelt sich in die doppelte Munition!","¡La Caja de estofado, transferida en secreto a los técnicos, se convierte mágicamente en un doble BC!","Ящик тушёнки, переданный втихаря техникам, волшебным образом превращается в двойной БК!"
STR_SYS_256_HM_2,Wanna this miracle to happen again? Bring six-pack to admin's den!,Bringen Sie die Schachtel des Radiergummis in die Erdbeere des Verwalters!,¡Lleve la caja de carne en conserva al dugout del administrador!,Отнесите ящик тушёнки в землянку администратора!
STR_SYS_256_HM_3,"As soon as  technical stuff saw WHO has arrived at the helipad, spreading with damnations and kicking empty ammo boxes on the way, they instantly rushed for the second ammo set","Zu sehen, WER kam in der service-station, technisches Personal verflucht, aber ging für die zweite Munition","Al ver QUIÉN voló a ellos para el Servicio, los técnicos se agotaron y se afeitaron para el segundo BC.","Увидев, КТО прилетел к ним на обслуживание, техники выматерились и побрели за вторым БК."

STR_SYS_256_STOP_NUM,3,3,3,3
STR_SYS_256_STOP_0,"I'm sorry, but there are no technicians, they may be asleep","Es tut mir Leid, aber es gibt keine Techniker, Sie können schlafen","Por desgracia, los técnicos son pocos y duermen","Увы, техников мало, и они спят"
STR_SYS_256_STOP_1,"It seems that there are no technicians, we will have to ship everything manually","Es scheint, dass es keine Techniker gibt, müssen Sie alles manuell herunterladen","Parece que los técnicos no pueden esperar, tendrán que enviar los misiles por sí mismos","Похоже, техников не дождаться, придётся самому грузить ракеты"
STR_SYS_256_STOP_3,Up your ass! Yeez! Rats! The political officer is coming!,In deinen Arsch! Yeez! Ratten! Der politische Offizier kommt!,Atas! ¡Viene el policía!,Атас! Замполит идёт!

STR_SYS_257,refueling...,Tanken...,Aderezo...,Заправка...
STR_SYS_257_1,"refueling of %1 is interrupted, the hose came off","Betanken von %1 ist unterbrochen, der Schlauch kam aus","La recarga %1 se ha interrumpido, la manguera se ha desprendido","Заправка %1 прервана, шланг оторвался"
STR_SYS_258,Repairing...,Reparieren...,Reparación...,Починка...

STR_SYS_RELOAD_REPAIR,Loading of repair equipment,Das laden von reparaturgeräten,Carga de inventario de reparación,Загрузка ремонтного инвентаря
STR_SYS_RELOAD_REAMMO,Ammunition reloading,Munition nachladen,Recarga de municiones,Перезарядка боезапаса
STR_SYS_RELOAD_REFUEL,Filling of the fuel tank,Tankfüllung,Repostar el tanque,Заправка цистерны

STR_SYS_258_1,Engineers thank You for fully functional vehicles (+1)!,Ingenieure vielen Dank für die voll funktionsfähigen Fahrzeuge (+1)!,¡Los ingenieros le agradecen por el transporte completamente funcional (+)!,Инженеры благодарят Вас за полностью исправный транспорт (+1)!
STR_SYS_258_2,You're not an engineer and can repair vehicle just with a loss of %1 point[s] per cycle,Du bist kein Ingenieur und kann Reparatur Fahrzeug nur mit einem Verlust von %1 pro Zyklus,Usted no es un ingeniero y sólo puede reparar con la deducción de puntos (%1 por ciclo),Вы не инженер и можете чинить только с вычетом очков (%1 за цикл)
STR_SYS_258_3,The engineer can locate and deactivate the mines,Der Ingenieur kann suchen Sie und deaktivieren Sie die Minen,Ahora el ingeniero puede trabajar con minas,Теперь инженер может работать с минами
STR_SYS_258_4,You must install the addon EditorUpdate_v102.PBO for a full-scale game,Sie müssen den Addon EditorUpdate_v102.pbo installieren für ein full-scale-Spiel,Es necesario instalar el complemento EditorUpdate_v102.pbo,Вам необходимо установить аддон EditorUpdate_v102.pbo
STR_SYS_258_5,The GRU curator thanks You for downloading the addon EditorUpdate_v102.pbo,Die GRU Kurator vielen Dank für den Download des addon EditorUpdate_v102.pbo,El curador GRU le agradece el complemento descargado EditorUpdate_v102.pbo,Куратор ГРУ благодарит Вас за загруженный аддон EditorUpdate_v102.pbo

STR_SYS_259,%1: service completed,%1: Service abgeschlossen,%1: Servicio completado,%1: обслуживание завершено

STR_SYS_260,%1 Artillery salvo %2 on the way...,%1 Artillerie salvo %2 auf dem Weg...,"%1 Art.batería... voleas lanzadas: %2, espera, Recepción.","%1 арт.батарея... залпов выпущено: %2, ожидайте, прием."
STR_SYS_261,"%1 Artillery Splashdown, Salvo %2","%1 Artillerie Splashdown, Salvo %2","%1 Art.batería: carga %2, Recepción.","%1 арт.батарея: заряжаем %2, прием."
STR_SYS_262,%1 Artillery reloading...,%1 Artillerie nachladen...,"%1 Art.batería: recargable, Recepción.","%1 арт.батарея: перезаряжаем, прием."
STR_SYS_263,%1 Artillery fire series ended,%1 Artillerie-Feuer-Serie beendet!,"%1 Art.batería: disparo terminado, Recepción.","%1 арт.батарея: стрельбу закончил, прием."
STR_SYS_264,"Crossroad, requesting %1 strike. %2 salvoes at %3 North, %4 West!","Crossroad, ersuchenden %1 schlagen. %2 Salven in %3 Nord, %4 West!","Solicito Art.impacto, munición %1, voleas: %2, en las siguientes coordenadas: %3 C - %4 Z.","Запрашиваю арт.удар, боеприпасы %1, залпов: %2, по следующим координатам: %3 С - %4 З."
STR_SYS_265,"This is %1 artillery, roger.","Das ist das %1 Artillerie, roger.",Esto es %1 Art.batería... es costumbre... recepción.,Это %1 арт.батарея... принято... прием.
STR_SYS_266,"%1 artillery executing %2 strike, salvoes %2","%1 Artillerie ausführen %1 strike, Salven %2","%1 Art.batería, realizado: munición %1, voleas: %2.","%1 арт.батарея, выполнили: боеприпасы %1, залпов: %2."
STR_SYS_267,%1 artillery available,%1 Artillerie zur Verfügung,%1 Art.batería disponible!,%1 арт.батарея доступна!
STR_SYS_268,%1 artillery available again in a few minutes,"%2 Artillerie wieder zur Verfügung stehen, in ein paar Minuten",%1 Art.¡la batería estará disponible en unos minutos!,%1 арт.батарея станет доступна через несколько минут!
STR_SYS_269,"Restoring %1 at %2%3, this will take some time...","Wiederherstellen %1 at %2%3, dies wird einige Zeit in Anspruch nehmen...","%2, técnica: %1%3. Tomará tiempo...","%2, техника: %1%3. Это потребует времени..."
STR_SYS_269_1,"Restoring %1 at %2, your score (+%3). It will take some time...","%2, Technik: %1, du bekommst Punkte (+%3). Das wird Zeit brauchen...","%2, técnica: %1, obtienes puntos (+%3). Esto llevará tiempo...","%2, техника: %1, Вы получаете очки (+%3). Это потребует времени..."
STR_SYS_270,%1 ready at %2,%1 ready at %2,%2 ha terminado de trabajar en %1,%2 завершил работу над %1
STR_SYS_271,Next target is: %1,Nächstes Ziel ist: %1,Objetivo actual: %1,Текущая цель: %1
STR_SYS_271_0,"Sahrani people informs: enemy troops are landing in the ""%1"" area!","Das Volk von Sahrani informiert: feindliche Truppen landen im ""%1"" Gebiet!","El pueblo de Sahrani informa: ¡las tropas enemigas están aterrizando en el área ""%1""!","Жители Сахрани сообщают: вражеские войска высаживаются в р-не ""%1""!"
STR_SYS_271_1,large,groß,grande,большая

STR_SYS_280,Liberation!,Freistellung!,¡Liberación!,Освобождение!
STR_SYS_281,Create Vehicle,Erstellen Fahrzeug,Descargar T. S.,Выгрузить т.с.
STR_SYS_282,Create Vehicle:,Erstellen Fahrzeug:,Descargar T. S.:,Выгрузить т.с.:
STR_SYS_283,Load box,Laden Kästchen,Cargar equipo,Загрузить снаряжение
STR_SYS_284,Drop box,Entladen Kästchen,Descargar equipo,Выгрузить снаряжение
STR_SYS_285,Ammobox loaded:,Ammo box geladen:,Equipo cargado:,Снаряжение загружено:
STR_SYS_286,Chopper 1,Chopper 1,Helicóptero 1,Вертолёт 1
STR_SYS_287,Vehicle Dialog,Fahrzeug-Dialog,Diálogo T. S.,Диалог т.с.
STR_SYS_288_1,"Too high! Get lower...","Zu hoch! Runter...","¡Demasiado alto! Baja...","Слишком высоко! Опуститесь ниже..."
STR_SYS_288_2,"Vehicle moves! Loading impossible...","Fahrzeug bewegt sich! Beladen unmöglich...","¡El vehículo se mueve! Carga imposible...","Транспорт движется! Загрузка невозможна..."
STR_SYS_288_3,"All ready to loading...","Alles bereit zum Laden...","Todo listo para cargar...","Все готово к загрузке..."
STR_SYS_288_4,"The loading will be available again in %1 sec.","Keine Boxen zum Download verfügbar!!!","¡¡¡No hay cajas disponibles para descargar!!!","Нет доступных к загрузке ящиков!!!"
STR_SYS_288_5,"Loading in progress...","Ladevorgang läuft...","Carga en curso...","Идёт загрузка..."
STR_SYS_288_6,"The crate is loaded!!!","Die Kiste ist geladen!!!","¡El cajón está cargado!","Ящик загружен!!!"

STR_MAIN_COMPLETED_NUM,7,7,7,7
STR_MAIN_COMPLETED_0,Now the enemy spirit will fall without Facebook,Nun der Feind fällt der Geist ohne Facebook...,Ahora el enemigo se desanimará sin Facebook...,Теперь враг падёт духом без Фейсбука...
STR_MAIN_COMPLETED_1,Now the enemy will stop playing Arma-2 and Arma-3...,Nun der Feind nicht in der Lage zu spielen Arma-2 und Arma-3,Ahora el enemigo no podrá jugar armu - 2 y armu-3...,Теперь враг не сможет играть в Арму-2 и Арму-3...
STR_MAIN_COMPLETED_2,Now the enemy will play only Arma-1 and OFP! Offline...,Jetzt wird der Feind spielen Arma-1 und OFP! Off-line...,¡Ahora el enemigo solo jugará en armu-1 y OFP! Fuera de línea...,Теперь враг будет играть только в Арму-1 и ОФП! Офф-лайн...
STR_MAIN_COMPLETED_3,The End Of Google...,Das Ende der feindlichen Google...,Fin al Google enemigo...,Конец вражескому Гуглу...
STR_MAIN_COMPLETED_4,Finally a LOT of scrap metal for our pioneers...,"Schließlich, VIEL Schrott für unsere Pioniere...","Finalmente, UNA gran cantidad de chatarra para nuestros pioneros...",Наконец МНОГО металлолома для наших пионеров...
